=============================================
| State Name      | Distance   | Gifts       |
=============================================
| Quintana Roo   | 0.00       |       604949 |
| Yucatan        | 154.10     |       747608 |
| Campeche       | 260.66     |       317258 |
| Tabasco        | 256.18     |       862293 |
| Chiapas        | 162.04     |      2296653 |
| Veracruz       | 527.93     |      2642451 |
| Oaxaca         | 270.38     |      1505682 |
| Puebla         | 275.43     |      2387904 |
| Tlaxcala       | 54.79      |       469123 |
| Hidalgo        | 138.92     |      1063924 |
| Morelos        | 194.20     |       635205 |
| CDMX           | 59.85      |      2303162 |
| Tamaulipas     | 559.93     |      1166487 |
| Estado de Mexico| 558.47     |      5598732 |
| Queretaro      | 168.01     |       781604 |
| Guerrero       | 354.49     |      1361501 |
| San Luis Potosi| 549.23     |       980235 |
| Guanajuato     | 196.69     |      2187784 |
| Nuevo Leon     | 529.80     |      1853344 |
| Michoacan      | 734.49     |      1706067 |
| Aguascalientes | 315.33     |       517162 |
| Zacatecas      | 145.87     |       600012 |
| Jalisco        | 316.77     |      2820248 |
| Coahuila       | 763.45     |      1093564 |
| Colima         | 932.16     |       233826 |
| Nayarit        | 306.88     |       435134 |
| Durango        | 347.15     |       676894 |
| Sinaloa        | 261.80     |      1008485 |
| Chihuahua      | 435.73     |      1268656 |
| Sonora         | 432.47     |       979563 |
| Baja California Sur| 436.49     |       262522 |
| Baja California| 595.38     |      1193942 |
=============================================
