=============================================
| State Name      | Distance   | Gifts       |
=============================================
| Aguascalientes | 0.00       |       517162 |
| Zacatecas      | 145.87     |      1117174 |
| Guanajuato     | 185.71     |      2704946 |
| Jalisco        | 204.79     |      3337410 |
| San Luis Potosi| 210.25     |      1497397 |
| Nayarit        | 258.22     |       952296 |
| Queretaro      | 290.19     |      1298766 |
| Michoacan      | 315.33     |      2223229 |
| Colima         | 368.18     |       750988 |
| Hidalgo        | 398.12     |      1581086 |
| Estado de Mexico| 408.29     |      6115894 |
| Durango        | 415.84     |      1194056 |
| CDMX           | 452.25     |      2820324 |
| Tamaulipas     | 457.45     |      1683649 |
| Nuevo Leon     | 465.29     |      2370506 |
| Morelos        | 499.10     |      1152367 |
| Tlaxcala       | 521.84     |       986285 |
| Guerrero       | 545.73     |      1878663 |
| Puebla         | 571.98     |      2905066 |
| Coahuila       | 588.99     |      1610726 |
| Sinaloa        | 621.48     |      1525647 |
| Veracruz       | 683.01     |      3159613 |
| Oaxaca         | 837.24     |      2022844 |
| Chihuahua      | 861.33     |      1785818 |
| Baja California Sur| 1075.70    |       779684 |
| Tabasco        | 1116.17    |      1379455 |
| Sonora         | 1201.17    |      1496725 |
| Chiapas        | 1205.51    |      2813815 |
| Campeche       | 1298.76    |       834420 |
| Yucatan        | 1397.60    |      1264770 |
| Quintana Roo   | 1504.59    |      1122111 |
| Baja California| 1583.98    |      1711104 |
=============================================
